,random_state,avg_abs_mean_diff
0,0,0.6210665556133743
1,1,0.7880296363389654
2,2,0.80234829213392
3,3,0.4229638580312778
4,4,0.4560802533625538
5,5,0.5307958721545861
6,6,0.3862683300492864
7,7,0.7942104588814947
8,8,0.4656571057567532
9,9,0.7811350638712633
10,10,0.3599749317907219
11,11,0.8256809997541753
12,12,0.42494604171419664
13,13,0.5518614475567472
14,14,0.8149856747086845
15,15,0.7683762141809354
16,16,0.49588695904758284
17,17,0.5889501406165388
18,18,0.4568039565815621
19,19,0.8749878568932299
20,20,0.5167640475738862
21,21,0.5648880962782548
22,22,0.34640917991151393
23,23,0.7887390172053406
24,24,0.7982960272399767
25,25,0.5008882536646563
26,26,0.8145354653637978
27,27,0.537082320751858
28,28,0.6038143111832908
29,29,0.8358870060718339
30,30,0.350564718309304
31,31,0.4294513136216346
32,32,0.7431961060638913
33,33,0.7719326818996883
34,34,0.7950121988802321
35,35,0.47617659058255074
36,36,0.5594770371236689
37,37,0.7067831678383707
38,38,0.5399479052487525
39,39,0.6252919480991149
40,40,0.7851895589359418
41,41,0.8389550658301748
42,42,0.7249786754400261
43,43,0.5321256046434756
44,44,0.8496497790075954
45,45,0.7195884874063605
46,46,0.7742597459852221
47,47,0.8709834907839736
48,48,0.7896803552721688
49,49,0.8411248109305234
50,50,0.7858849539585001
51,51,0.498701144510067
52,52,0.586690452305626
53,53,0.48403877399092154
54,54,0.8928195452682404
55,55,0.8095033088848806
56,56,0.8162557176025395
57,57,0.6832658395500418
58,58,0.8427848579541164
59,59,0.39607971252108787
60,60,0.741014206413514
61,61,0.4746027506046745
62,62,0.4607978978043862
63,63,0.6510370092813345
64,64,0.568539337128146
65,65,0.5615551720048246
66,66,0.5017987127039529
67,67,0.41540336716474713
68,68,0.6827799678811103
69,69,0.7452795072431793
70,70,0.7824633623587214
71,71,0.44508996022854763
72,72,0.8580518234518617
73,73,0.6709843995715404
74,74,0.4564656045628456
75,75,0.7233115980114044
76,76,0.7709623845509127
77,77,0.6857291540123892
78,78,0.3387134861921578
79,79,0.8221723099732372
80,80,0.775213333142345
81,81,0.6858256440997015
82,82,0.9141629335801822
83,83,0.9012712965928188
84,84,0.49219990388157137
85,85,0.7774718112788528
86,86,0.4331835553176232
87,87,0.662111339600187
88,88,0.7582744321525133
89,89,0.7790485444632342
90,90,0.6427975514857647
91,91,0.46486393426390704
92,92,0.4505502778979899
93,93,0.4620336369432585
94,94,0.7322123877358798
95,95,0.836991874432719
96,96,0.9177978642699387
97,97,0.816613753733991
98,98,0.618753760213907
99,99,0.7065562120202971
100,100,0.5689570559001778
101,101,0.6840027141756041
102,102,0.6871732019906657
103,103,0.8764204845754797
104,104,0.6941158808338257
105,105,0.812851896869228
106,106,0.8351742607809115
107,107,0.8060850387595178
108,108,0.5748913930225678
109,109,0.5977047301233827
110,110,0.42518751831919277
111,111,0.6652653720239423
112,112,0.35691591150257035
113,113,0.849524681104817
114,114,0.7411694287183018
115,115,0.8424991385675356
116,116,0.4649722166676572
117,117,0.8131289445378252
118,118,0.6613462519447779
119,119,0.8216569733822784
120,120,0.4826265902077916
121,121,0.6580589595575131
122,122,0.4938240569165141
123,123,0.6165717895334886
124,124,0.6910020039503129
125,125,0.7788884635969138
126,126,0.8199799593927016
127,127,0.7749452384556739
128,128,0.728937380693539
129,129,0.8415605954707678
130,130,0.4963415745296005
131,131,0.4821788180060154
132,132,0.5229713510570133
133,133,0.8466894727944483
134,134,0.8460699724940242
135,135,0.8868972686684355
136,136,0.7655587752092418
137,137,0.7706588202553285
138,138,0.8002745642944621
139,139,0.7874396292836569
140,140,0.8561968441832823
141,141,0.3207259095504158
142,142,0.4517546629656354
143,143,0.6971344081250743
144,144,0.8759104430398728
145,145,0.9066867516190757
146,146,0.751628763157354
147,147,0.8117417525496686
148,148,0.7807811244945911
149,149,0.7773562612622595
150,150,0.8577854889335716
151,151,0.7918049187404904
152,152,0.7929489561731188
153,153,0.7260797603822329
154,154,0.8690291879453061
155,155,0.5271350505202396
156,156,0.43128046825470634
157,157,0.6709587558857928
158,158,0.8123852753796813
159,159,0.894445930570677
160,160,0.43476880147925073
161,161,0.4656186401976149
162,162,0.47676568856946827
163,163,0.7165273454393339
164,164,0.7966841150285168
165,165,0.39510871944706605
166,166,0.7727220813178909
167,167,0.5269915100240862
168,168,0.7709214668107258
169,169,0.47753664644189275
170,170,0.8523120883009752
171,171,0.5566222865758097
172,172,0.4463524177991437
173,173,0.8583529335529873
174,174,0.8791686263247322
175,175,0.5040431193607565
176,176,0.7959126232105478
177,177,0.4592988787648036
178,178,0.8180890960434182
179,179,0.8162157494011371
180,180,0.5012646498798998
181,181,0.649454768948284
182,182,0.4295377093518651
183,183,0.505098858672555
184,184,0.8277423333334066
185,185,0.7268697781690012
186,186,0.6178205219959946
187,187,0.7703293386300626
188,188,0.5051122174324468
189,189,0.8034747595694507
190,190,0.7392136102702387
191,191,0.23095242811399977
192,192,0.8847196209461018
193,193,0.9227654056360395
194,194,0.4513307827484706
195,195,0.43826765165678544
196,196,0.51649560468923
197,197,0.45097157284618544
198,198,0.531982329157219
199,199,0.6430374243216812
